start_kod,start_miasto,stop_kod,stop_miasto,miejsce,nr,mpal,km,stref,staw,waga_br,waga_przel,kwota,kosztow,konto
603,RADOM          ,42,BAZA LOTNICTWAZ, ,616542013588124,"0,5",0,ZN3,0,51,64,"19,86",205,42120
600,RADOM           ALFA ELEKTRO,400, , ,616622015467793,"1,6",0,ZN3,0,130,336,"33,12",205,42120
600,RADOM          ,5260,ODENSE S        TEXTILIA ODENSE DF, ,616254010182516,"1,0",0,ZN3,0,298,518,"46,91",205,42111
600,RADOM           MS,14, , ,616302012458382,"1,0",0,ZN3,0,80,331,"32,65",205,42120
615,Radom          ,54066,Zemaitkiemis    UAB KESKO SENUKAI , ,616154010394810,"5,0",0,ZN3,0,1000,2376,"146,75",205,42111
600,Radom          ,85480,Przedsiębior, ,616352012373521,"2,0",0,ZN3,0,400,864,"78,19",205,42120
600,RADOM          ,92350,LE PLESSIS ROBINABIOTEC           , ,616254010180814,"1,0",0,ZN3,0,150,777,"70,37",205,42111
900,KOZIENICE      ,83410,LAUFEN          ROSENBERGER SITE S, ,616054011110872,"1,5",0,ZN5,0,665,691,"93,65",205,42111
670,Pionki         ,95501,TOPOLCANY       SINSKA NABYTOK    , ,616254010181256,"0,5",0,ZN4,0,85,1483,"121,76",205,42111
900,KOZIENICE      ,83410,LAUFEN          ROSENBERGER SITE S, ,616054011113639,"6,0",0,ZN5,0,2510,2764,"220,46",205,42111
900,KOZIENICE      ,83410,LAUFEN          ROSENBERGER SITE S, ,616054011114178,"3,0",0,ZN5,0,1545,1545,"151,41",205,42111
900,KOZIENICE      ,28925,MADRID          EPIRSA            , ,616254010181503,"5,5",0,ZN5,0,2781,2781,"220,46",205,42111
900,KOZIENICE      ,28925,MADRID          EPIRSA            , ,616254010181502,"8,0",0,ZN5,0,4274,4274,"258,00",205,42111
140,WŁOSZAKOWICE    BUDOMEX -,06, , ,616252011496364,"1,7",0,ZN5,0,472,981,"126,03",205,42111
900,KOZIENICE      ,83410,LAUFEN          ROSENBERGER SITE S, ,616054011116629,"0,5",0,ZN5,0,150,150,"44,38",205,42111
670,Pionki         ,76001,ZLIN            SALTIC,S.R.O.       ,616254010182163,"0,2",0,ZN4,0,7,587,"62,92",205,42111
900,KOZIENICE      ,04827,GERICHSHAIN     EXPITEL LOTH INTER, ,616254010182481,"1,0",0,ZN5,0,270,1555,"152,40",205,42111
900,KOZIENICE      ,83410,LAUFEN          ROSENBERGER SITE S, ,616054011120106,"4,5",0,ZN5,0,2050,2050,"200,90",205,42111
670,Pionki         ,6210,SEZANA          MITOL             , ,616254010182707,"2,0",0,ZN4,0,773,773,"82,86",205,42111
612,RADOM          ,53231,GARLIAVA        HOREKOS SERVISAS  , ,616154010390635,"1,0",0,ZN3,0,120,460,"36,38",205,42111
600,RADOM          ,93149,NITTENAU        KRONES AG NITTENAU, ,616254010180810,"0,5",0,ZN3,0,135,280,"27,38",205,42111
600,RADOM          ,93073,NEUTRAUBLING    KRONES AG WARENEIN, ,616254010180920,"0,2",0,ZN3,0,70,2225,"135,88",205,42111
600,RADOM          ,36456,BARCHFELD       PKC SEGU SYSTEMELE, ,616254010180948,"0,5",0,ZN3,0,520,898,"75,25",205,42111
600,RADOM          ,57548,KIRCHEN-WEHBACH DELLNER BUBENZER G, ,616254010181079,"1,0",0,ZN3,0,265,475,"36,38",205,42111
600,RADOM          ,57548,KIRCHEN-WEHBACH DELLNER BUBENZER G, ,616254010181284,"1,5",0,ZN3,0,1230,1230,"95,13",205,42111
600,RADOM          ,02103,VILNIUS         POLITE UAB        , ,616154010392377,"1,0",0,ZN3,0,880,880,"73,74",205,42111
600,RADOM          ,74909,MECKESHEIM      HERBOLD MECKESHEIM, ,616254010181601,"1,0",0,ZN3,0,1020,1020,"82,92",205,42111
612,RADOM          ,53231,GARLIAVA        HOREKOS SERVISAS  , ,616154010392849,"2,5",0,ZN3,0,190,858,"71,97",205,42111
600,RADOM          ,36456,BARCHFELD       PKC SEGU SYSTEMELE, ,616254010181714,"2,5",0,ZN3,0,1945,1945,"124,09",205,42111
600,RADOM          ,93073,NEUTRAUBLING    KRONES AG - LCS-WE, ,616254010181936,"0,3",0,ZN3,0,50,145,"27,01",205,42111
600,RADOM          ,93073,NEUTRAUBLING    KRONES AG WARENEIN, ,616254010182031,"1,3",0,ZN3,0,310,610,"51,11",205,42111
612,RADOM          ,53231,GARLIAVA        HOREKOS SERVISAS  , ,616154010394093,"1,0",0,ZN3,0,55,460,"36,38",205,42111
600,RADOM          ,02103,VILNIUS         POLITE UAB        , ,616154010394846,"0,5",0,ZN3,0,350,350,"31,95",205,42111
600,RADOM          ,10090,BRUINO          ICAI INTERMEDI CHI, ,616254010182644,"2,3",0,ZN3,0,1147,2447,"135,88",205,42111
600,RADOM          ,21401,SAUSIAI         LAMIDA            , ,616154010395612,"3,0",0,ZN3,0,2400,2400,"135,88",205,42111
600,RADOM          ,1000,SKOPJE          RBC MEDIA         , ,616444012093532,"1,0",0,ZN3,0,67,293,"27,38",205,42111
600,RADOM          ,4227,SELCA           LOTRIC            , ,616254010180894,"0,5",0,ZN3,0,25,1102,"89,63",205,42111
600,RADOM          ,78120,CLAIREFONTAINE-EABCV SERVICES     , ,616254010180952,"1,0",0,ZN3,0,218,1915,"122,18",205,42111
600,RADOM          ,73431,AALEN           MUHAREM LJATIFI,K.  ,616254010181021,"1,0",0,ZN3,0,223,1267,"95,13",205,42111
