reg_number,mpal,stops
TK1503U,693.5,420
TK3918T,14.5,10
TK6206W,801.6,479
TK6608V,755.4,388
TK718EE,719.8,372
WWL4795P,1073.8,363
WWL5794S,1173.3,484
WWL6856U,1129.9,372
WWL8513U,672.6,398
