,A,reg_number,date,values,mpal,stops
1843,"Razem 14,7 0 3765 / 7087 7 568,40 PLN",TK6206W,17-07-24,"['14,7', '0', '3765', '/', '7087', '7', '568,40', 'PLN']","14,7",7
1866,"Razem 15,9 0 5381 / 5949 12 656,17 PLN",TK6206W,17-07-24,"['15,9', '0', '5381', '/', '5949', '12', '656,17', 'PLN']","15,9",12
1883,"Razem 17,3 0 3511 / 7516 7 603,28 PLN",TK6206W,18-07-24,"['17,3', '0', '3511', '/', '7516', '7', '603,28', 'PLN']","17,3",7
1920,"Razem 17,3 0 4328 / 5797 14 660,05 PLN",TK6206W,18-07-24,"['17,3', '0', '4328', '/', '5797', '14', '660,05', 'PLN']","17,3",14
1942,"Razem 17,0 0 7090 / 8781 7 642,12 PLN",TK6206W,19-07-24,"['17,0', '0', '7090', '/', '8781', '7', '642,12', 'PLN']","17,0",7
1971,"Razem 17,7 0 5721 / 6809 16 750,58 PLN",TK6206W,19-07-24,"['17,7', '0', '5721', '/', '6809', '16', '750,58', 'PLN']","17,7",16
1994,"Razem 17,0 0 3625 / 7871 5 583,51 PLN",TK6206W,22-07-24,"['17,0', '0', '3625', '/', '7871', '5', '583,51', 'PLN']","17,0",5
2007,"Razem 17,0 0 3511 / 5344 18 718,73 PLN",TK6206W,22-07-24,"['17,0', '0', '3511', '/', '5344', '18', '718,73', 'PLN']","17,0",18
2055,"Razem 19,0 0 5486 / 8338 8 687,98 PLN",TK6206W,23-07-24,"['19,0', '0', '5486', '/', '8338', '8', '687,98', 'PLN']","19,0",8
2074,"Razem 16,9 0 3544 / 6073 16 711,72 PLN",TK6206W,23-07-24,"['16,9', '0', '3544', '/', '6073', '16', '711,72', 'PLN']","16,9",16
2117,"Razem 17,3 0 2779 / 7203 6 553,07 PLN",TK6206W,24-07-24,"['17,3', '0', '2779', '/', '7203', '6', '553,07', 'PLN']","17,3",6
2141,"Razem 17,5 0 6345 / 7552 12 678,09 PLN",TK6206W,24-07-24,"['17,5', '0', '6345', '/', '7552', '12', '678,09', 'PLN']","17,5",12
2163,"Razem 13,8 0 3734 / 5116 9 546,58 PLN",TK6206W,25-07-24,"['13,8', '0', '3734', '/', '5116', '9', '546,58', 'PLN']","13,8",9
2191,"Razem 18,3 0 4389 / 6698 18 795,73 PLN",TK6206W,25-07-24,"['18,3', '0', '4389', '/', '6698', '18', '795,73', 'PLN']","18,3",18
2206,"Razem 19,5 0 7860 / 8220 7 635,53 PLN",TK6206W,26-07-24,"['19,5', '0', '7860', '/', '8220', '7', '635,53', 'PLN']","19,5",7
2250,"Razem 18,0 0 3521 / 6449 17 770,26 PLN",TK6206W,26-07-24,"['18,0', '0', '3521', '/', '6449', '17', '770,26', 'PLN']","18,0",17
2297,"Razem 14,8 0 3620 / 6980 6 582,62 PLN",TK6206W,29-07-24,"['14,8', '0', '3620', '/', '6980', '6', '582,62', 'PLN']","14,8",6
2340,"Razem 17,3 0 6573 / 9393 12 838,29 PLN",TK6206W,29-07-24,"['17,3', '0', '6573', '/', '9393', '12', '838,29', 'PLN']","17,3",12
2388,"Razem 18,7 0 6355 / 8527 6 586,19 PLN",TK6206W,30-07-24,"['18,7', '0', '6355', '/', '8527', '6', '586,19', 'PLN']","18,7",6
2433,"Razem 20,0 0 7140 / 8408 17 907,22 PLN",TK6206W,30-07-24,"['20,0', '0', '7140', '/', '8408', '17', '907,22', 'PLN']","20,0",17
2479,"Razem 18,2 0 4240 / 8199 7 699,85 PLN",TK6206W,31-07-24,"['18,2', '0', '4240', '/', '8199', '7', '699,85', 'PLN']","18,2",7
2520,"Razem 17,9 0 4270 / 6790 13 739,15 PLN",TK6206W,31-07-24,"['17,9', '0', '4270', '/', '6790', '13', '739,15', 'PLN']","17,9",13
2545,"Razem 18,2 0 5919 / 8176 4 661,51 PLN",TK6608V,01-07-24,"['18,2', '0', '5919', '/', '8176', '4', '661,51', 'PLN']","18,2",4
2569,"Razem 17,6 0 3904 / 0 12 780,51 PLN",TK6608V,01-07-24,"['17,6', '0', '3904', '/', '0', '12', '780,51', 'PLN']","17,6",12
2586,"Razem 20,8 0 7829 / 8488 9 856,32 PLN",TK6608V,02-07-24,"['20,8', '0', '7829', '/', '8488', '9', '856,32', 'PLN']","20,8",9
2613,"Razem 4,8 0 1226 / 0 4 675,56 PLN",TK6608V,02-07-24,"['4,8', '0', '1226', '/', '0', '4', '675,56', 'PLN']","4,8",4
2634,"Razem 14,7 0 6533 / 7529 4 671,84 PLN",TK6608V,03-07-24,"['14,7', '0', '6533', '/', '7529', '4', '671,84', 'PLN']","14,7",4
2653,"Razem 17,3 0 5982 / 6852 15 1.005,09 PLN",TK6608V,03-07-24,"['17,3', '0', '5982', '/', '6852', '15', '1.005,09', 'PLN']","17,3",15
2689,"Razem 15,2 0 6131 / 6407 4 725,88 PLN",TK6608V,04-07-24,"['15,2', '0', '6131', '/', '6407', '4', '725,88', 'PLN']","15,2",4
2713,"Razem 17,7 0 7512 / 8033 14 1.051,56 PLN",TK6608V,04-07-24,"['17,7', '0', '7512', '/', '8033', '14', '1.051,56', 'PLN']","17,7",14
2737,"Razem 17,8 0 4605 / 6622 4 634,44 PLN",TK6608V,05-07-24,"['17,8', '0', '4605', '/', '6622', '4', '634,44', 'PLN']","17,8",4
2761,"Razem 16,9 0 4382 / 6521 13 918,47 PLN",TK6608V,05-07-24,"['16,9', '0', '4382', '/', '6521', '13', '918,47', 'PLN']","16,9",13
2778,"Razem 17,0 0 5453 / 7064 5 736,78 PLN",TK6608V,08-07-24,"['17,0', '0', '5453', '/', '7064', '5', '736,78', 'PLN']","17,0",5
2818,"Razem 18,3 0 3889 / 5007 12 727,84 PLN",TK6608V,08-07-24,"['18,3', '0', '3889', '/', '5007', '12', '727,84', 'PLN']","18,3",12
2838,"Razem 12,8 0 5655 / 5655 2 410,04 PLN",TK6608V,09-07-24,"['12,8', '0', '5655', '/', '5655', '2', '410,04', 'PLN']","12,8",2
2865,"Razem 17,2 0 4522 / 6426 14 958,33 PLN",TK6608V,09-07-24,"['17,2', '0', '4522', '/', '6426', '14', '958,33', 'PLN']","17,2",14
2884,"Razem 15,7 0 6656 / 7102 4 594,91 PLN",TK6608V,10-07-24,"['15,7', '0', '6656', '/', '7102', '4', '594,91', 'PLN']","15,7",4
2903,"Razem 17,2 0 5538 / 7192 12 962,15 PLN",TK6608V,10-07-24,"['17,2', '0', '5538', '/', '7192', '12', '962,15', 'PLN']","17,2",12
