,A,reg_number,date,values,mpal,stops
6178,"Razem 25,6 0 4508 / 10685 6 668,47 PLN",WWL5794S,19-12-23,"['25,6', '0', '4508', '/', '10685', '6', '668,47', 'PLN']","25,6",6
6231,"Razem 24,5 0 9365 / 11105 16 963,97 PLN",WWL5794S,19-12-23,"['24,5', '0', '9365', '/', '11105', '16', '963,97', 'PLN']","24,5",16
6245,"Razem 25,7 0 5274 / 7506 5 577,74 PLN",WWL5794S,20-12-23,"['25,7', '0', '5274', '/', '7506', '5', '577,74', 'PLN']","25,7",5
6297,"Razem 28,5 0 9884 / 11747 14 1.033,39 PLN",WWL5794S,20-12-23,"['28,5', '0', '9884', '/', '11747', '14', '1.033,39', 'PLN']","28,5",14
6312,"Razem 24,7 0 4064 / 8097 4 495,39 PLN",WWL5794S,21-12-23,"['24,7', '0', '4064', '/', '8097', '4', '495,39', 'PLN']","24,7",4
6367,"Razem 26,1 0 8054 / 10530 16 958,32 PLN",WWL5794S,21-12-23,"['26,1', '0', '8054', '/', '10530', '16', '958,32', 'PLN']","26,1",16
6379,"Razem 9,0 0 1622 / 3276 3 213,92 PLN",WWL5794S,22-12-23,"['9,0', '0', '1622', '/', '3276', '3', '213,92', 'PLN']","9,0",3
6427,"Razem 19,1 0 4522 / 5833 17 666,20 PLN",WWL5794S,22-12-23,"['19,1', '0', '4522', '/', '5833', '17', '666,20', 'PLN']","19,1",17
6543,"Razem 13,7 0 1154 / 2557 2 205,99 PLN",WWL5794S,27-12-23,"['13,7', '0', '1154', '/', '2557', '2', '205,99', 'PLN']","13,7",2
6565,"Razem 19,9 0 7695 / 9640 9 762,02 PLN",WWL5794S,27-12-23,"['19,9', '0', '7695', '/', '9640', '9', '762,02', 'PLN']","19,9",9
6719,"Razem 26,5 0 4030 / 8759 3 454,36 PLN",WWL5794S,29-12-23,"['26,5', '0', '4030', '/', '8759', '3', '454,36', 'PLN']","26,5",3
6729,"Razem 24,3 0 4359 / 6505 13 649,66 PLN",WWL5794S,29-12-23,"['24,3', '0', '4359', '/', '6505', '13', '649,66', 'PLN']","24,3",13
6771,"Razem 24,9 0 8790 / 11668 4 549,66 PLN",WWL6856U,01-12-23,"['24,9', '0', '8790', '/', '11668', '4', '549,66', 'PLN']","24,9",4
6792,"Razem 25,3 0 11045 / 11892 11 786,40 PLN",WWL6856U,01-12-23,"['25,3', '0', '11045', '/', '11892', '11', '786,40', 'PLN']","25,3",11
6814,"Razem 25,9 0 8314 / 10046 11 822,08 PLN",WWL6856U,04-12-23,"['25,9', '0', '8314', '/', '10046', '11', '822,08', 'PLN']","25,9",11
6840,"Razem 24,0 0 5953 / 10573 3 437,98 PLN",WWL6856U,04-12-23,"['24,0', '0', '5953', '/', '10573', '3', '437,98', 'PLN']","24,0",3
6864,"Razem 24,5 0 7695 / 10742 2 445,62 PLN",WWL6856U,05-12-23,"['24,5', '0', '7695', '/', '10742', '2', '445,62', 'PLN']","24,5",2
6879,"Razem 24,5 0 6817 / 10603 16 934,45 PLN",WWL6856U,05-12-23,"['24,5', '0', '6817', '/', '10603', '16', '934,45', 'PLN']","24,5",16
6928,"Razem 24,5 0 6294 / 9532 4 541,85 PLN",WWL6856U,06-12-23,"['24,5', '0', '6294', '/', '9532', '4', '541,85', 'PLN']","24,5",4
6946,"Razem 26,3 0 9380 / 10595 11 744,84 PLN",WWL6856U,06-12-23,"['26,3', '0', '9380', '/', '10595', '11', '744,84', 'PLN']","26,3",11
6985,"Razem 20,0 0 6621 / 9052 3 401,59 PLN",WWL6856U,07-12-23,"['20,0', '0', '6621', '/', '9052', '3', '401,59', 'PLN']","20,0",3
7012,"Razem 24,7 0 9492 / 10972 14 976,30 PLN",WWL6856U,07-12-23,"['24,7', '0', '9492', '/', '10972', '14', '976,30', 'PLN']","24,7",14
7040,"Razem 28,3 0 8357 / 11812 9 833,35 PLN",WWL6856U,08-12-23,"['28,3', '0', '8357', '/', '11812', '9', '833,35', 'PLN']","28,3",9
7065,"Razem 24,0 0 6040 / 7773 14 734,17 PLN",WWL6856U,08-12-23,"['24,0', '0', '6040', '/', '7773', '14', '734,17', 'PLN']","24,0",14
7077,"Razem 25,5 0 5310 / 9734 3 461,52 PLN",WWL6856U,12-12-23,"['25,5', '0', '5310', '/', '9734', '3', '461,52', 'PLN']","25,5",3
7126,"Razem 32,2 0 11586 / 12792 12 913,52 PLN",WWL6856U,12-12-23,"['32,2', '0', '11586', '/', '12792', '12', '913,52', 'PLN']","32,2",12
7144,"Razem 26,0 0 5747 / 10234 6 692,17 PLN",WWL6856U,13-12-23,"['26,0', '0', '5747', '/', '10234', '6', '692,17', 'PLN']","26,0",6
7191,"Razem 27,2 0 5680 / 8854 13 789,72 PLN",WWL6856U,13-12-23,"['27,2', '0', '5680', '/', '8854', '13', '789,72', 'PLN']","27,2",13
7207,"Razem 23,0 0 14151 / 14151 2 420,90 PLN",WWL6856U,14-12-23,"['23,0', '0', '14151', '/', '14151', '2', '420,90', 'PLN']","23,0",2
7235,"Razem 25,1 0 6058 / 11108 15 1.022,47 PLN",WWL6856U,14-12-23,"['25,1', '0', '6058', '/', '11108', '15', '1.022,47', 'PLN']","25,1",15
7271,"Razem 23,7 0 5401 / 8499 8 654,28 PLN",WWL6856U,15-12-23,"['23,7', '0', '5401', '/', '8499', '8', '654,28', 'PLN']","23,7",8
